keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
hệ_thống,40,4,9.0,220.0,2025-04-21
krx,26,2,12.0,182.0,2025-04-21
quy_định,25,3,7.33,116.67,2025-04-21
ký,31,5,5.2,111.6,2025-04-21
bổ_sung,14,1,13.0,105.0,2025-04-21
kỳ,19,2,8.5,99.75,2025-04-21
lưu ký,23,3,6.67,99.67,2025-04-21
lưu,23,3,6.67,99.67,2025-04-21
fpt,13,1,12.0,91.0,2025-04-21
bsc,24,0,5.0,84.0,2025-04-21
cổ_phiếu,60,35,0.71,81.43,2025-04-21
hệ_thống krx,21,0,5.0,73.5,2025-04-21
kịch_bản,11,1,10.0,66.0,2025-04-21
tăng,65,65,0.0,65.0,2025-04-21
vay,25,6,3.17,64.58,2025-04-21
thanh_toán,31,10,2.1,63.55,2025-04-21
so,43,22,0.95,63.52,2025-04-21
cổ_đông,18,0,5.0,63.0,2025-04-21
so kỳ,17,0,5.0,59.5,2025-04-21
giảm,47,31,0.52,59.13,2025-04-21
chứng_khoán,53,45,0.18,57.71,2025-04-21
thông_tư,17,3,4.67,56.67,2025-04-21
bảo_hiểm xã_hội,10,1,9.0,55.0,2025-04-21
sửa_đổi,10,1,9.0,55.0,2025-04-21
thành_viên,23,7,2.29,49.29,2025-04-21
xác_định,13,2,5.5,48.75,2025-04-21
điểm,42,32,0.31,48.56,2025-04-21
tcbs,13,0,5.0,45.5,2025-04-21
phiên,38,29,0.31,43.9,2025-04-21
dự_thảo,12,0,5.0,42.0,2025-04-21
apg,12,0,5.0,42.0,2025-04-21
mức,36,27,0.33,42.0,2025-04-21
hoạt_động,30,18,0.67,40.0,2025-04-21
hiện_tại,14,3,3.67,39.67,2025-04-21
đạt,35,28,0.25,39.38,2025-04-21
giao_dịch,44,58,-0.24,38.69,2025-04-21
đà,8,1,7.0,36.0,2025-04-21
14,8,1,7.0,36.0,2025-04-21
bidv,8,1,7.0,36.0,2025-04-21
phân_phối,8,1,7.0,36.0,2025-04-21
